#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Gracilinanus agilis	191870	PRJNA565840	565840	Animals	Mammals	3701.02	38.8608	GCA_016433145.1	chromosome 1:CM028235.1; chromosome 2:CM028236.1; chromosome 3:CM028237.1; chromosome 4:CM028238.1; chromosome 5:CM028239.1; chromosome 6:CM028240.1; chromosome X:CM028241.1	JADWME01	60713	-	-	2020/12/29	2021/01/06	Chromosome	Nanjing Normal University	SAMN16807781
Pyrrhura cruentata	311901	PRJNA481551	481551	Animals	Birds	1125.65	42	GCA_016545565.1	-	WUAO01	70001	-	-	2021/01/06	2021/01/06	Scaffold	IRIDIAN GENOMES	SAMN09683515
Fusarium cf. aywerte	2778371	PRJNA412392	412392	Fungi	Ascomycetes	40.2491	47.3	GCA_011034095.1	-	WETZ01	272	-	-	2020/02/27	2021/01/07	Scaffold	Cook Lab - University of California at Davis	SAMN07711068
Fusarium cf. hostae	2778373	PRJNA412392	412392	Fungi	Ascomycetes	54.2116	46.5	GCA_011035825.1	-	WEXE01	2310	-	-	2020/02/27	2021/01/07	Scaffold	Cook Lab - University of California at Davis	SAMN07710904
Fusarium cf. verticillioides	2778375	PRJNA412392	412392	Fungi	Ascomycetes	42.6654	48.3	GCA_011035275.1	-	WEWL01	360	-	-	2020/02/27	2021/01/07	Scaffold	Cook Lab - University of California at Davis	SAMN07710871
Fusarium cf. nygamai	2778374	PRJNA412392	412392	Fungi	Ascomycetes	44.7113	46	GCA_011036685.1	-	WEYU01	22007	-	-	2020/02/27	2021/01/07	Scaffold	Cook Lab - University of California at Davis	SAMN07710953
[Candida] californica	460514	PRJNA435582	435582	Fungi	Ascomycetes	12.3207	28.7	GCA_016584195.1	-	PUHU01	854	5490	5330	2021/01/08	2021/01/08	Scaffold	SysMilk	SAMN08581127
Suillus ampliporus	1912932	PRJNA460339	460339	Fungi	Basidiomycetes	58.3346	48.1	GCA_016584345.1	-	JABCPV01	1601	16644	16523	2021/01/08	2021/01/08	Contig	DOE Joint Genome Institute	SAMN09070701
Celoporthe dispersa	224443	PRJNA574566	574566	Fungi	Ascomycetes	41.3924	54.6	GCA_016584495.1	-	WAID01	19	-	-	2021/01/08	2021/01/08	Contig	University of Pretoria	SAMN12860070
Nitzschia putrida	2742595	PRJDB10047	684501	Other	Other	47.1336	47.6	GCA_016586335.1	-	BLYE01	234	-	-	2020/12/09	2020/12/09	Contig	Graduate School of Agriculture, Kyoto University	SAMD00232021
Ophiorrhiza pumila	157934	PRJDB8685	679201	Plants	Land Plants	440.319	34.3	GCA_016586305.1	-	BLIW01	13	-	-	2020/12/09	2020/12/09	Scaffold	Kazusa DNA Research Institute	SAMD00177989
Chionoecetes opilio	41210	PRJNA602365	602365	Animals	Other Animals	2002.92	41.8	GCA_016584305.1	-	JACEEZ01	26514	21728	22637	2021/01/08	2021/01/08	Scaffold	Seoul National University	SAMN13893315
Colletotrichum echinochloae	537474	PRJNA672254	672254	Fungi	Ascomycetes	62.2464	46.6	GCA_016618095.1	-	JADEZT01	21	-	-	2021/01/12	2021/01/12	Contig	Hubei Academy of Agricultural Sciences	SAMN16551125
Nymphon striatum	424472	PRJNA595812	595812	Animals	Other Animals	744.789	35.4	GCA_016618385.1	-	JABFOP01	1638	16178	28531	2021/01/12	2021/01/12	Scaffold	Seoul National University	SAMN13567730
Platyplectrum ornatum	2741728	PRJNA637083	637083	Animals	Amphibians	1065.31	29.3	GCA_016617825.1	-	JABWIB01	148035	-	-	2021/01/12	2021/01/12	Scaffold	Kent State Universirt	SAMN15105358
Macrosiphum rosae	44659	PRJNA576965	576965	Animals	Insects	568.543	30	GCA_016617965.1	-	WHPZ01	590887	-	-	2021/01/12	2021/01/12	Scaffold	University of Rochester	SAMN13016521
Megalonaias nervosa	52375	PRJNA681519	681519	Animals	Other Animals	2365.22	35.8	GCA_016617855.1	-	JAECUM01	96310	-	-	2021/01/12	2021/01/12	Scaffold	UNC Charlotte	SAMN15565826
Sanghuangporus lonicericola	1659843	PRJNA587366	587366	Fungi	Basidiomycetes	83.126	35.8	GCA_016618145.1	-	WJSG01	28464	-	-	2021/01/12	2021/01/12	Scaffold	Central South University of Forestry and Technology	SAMN13189427
Astraeus odoratus	265491	PRJNA663954	663954	Fungi	Basidiomycetes	45.0994	54	GCA_016618355.1	-	JADGIP01	10076	15	15	2021/01/12	2021/01/12	Scaffold	Purdue University	SAMN16189912
Suillus paluster	48578	PRJNA500122	500122	Fungi	Basidiomycetes	61.9937	47.9	GCA_016628075.1	-	JABBWC01	996	16708	16585	2021/01/13	2021/01/13	Contig	DOE Joint Genome Institute	SAMN10362844
Suillus lakei	48574	PRJNA499949	499949	Fungi	Basidiomycetes	79.7461	47.9	GCA_016628065.1	-	JABBWA01	1154	19523	19383	2021/01/13	2021/01/13	Contig	DOE Joint Genome Institute	SAMN10362048
Suillus occidentalis	756607	PRJNA500540	500540	Fungi	Basidiomycetes	57.9635	47.5	GCA_016628085.1	-	JABBWB01	1584	16151	16028	2021/01/13	2021/01/13	Contig	DOE Joint Genome Institute	SAMN10363193
Didymella arachidicola	749598	PRJNA562378	562378	Fungi	Ascomycetes	40.7188	54.5	GCA_016630955.1	-	WOCF01	25	-	-	2021/01/13	2021/01/13	Contig	Henan Academy of Agricultural Sciences	SAMN12638752
Callionymus lyra	34785	PRJNA634838	634838	Animals	Fishes	568.707	39	GCA_016630915.1	-	JACEEU01	1205	-	-	2021/01/13	2021/01/13	Scaffold	Senckenberg Nature Research Society	SAMN15526017
Suillus subaureus	48587	PRJNA346342	346342	Fungi	Basidiomycetes	57.6609	46.8	GCA_016647635.1	-	JABBWG01	668	15900	15740	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN05920861
Suillus variegatus	48592	PRJNA519865	519865	Fungi	Basidiomycetes	64.8626	47.2	GCA_016647645.1	-	JABBWF01	1270	17192	17069	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN10865531
Suillus subalutaceus	48586	PRJNA460943	460943	Fungi	Basidiomycetes	64.9716	47.6	GCA_016647625.1	-	JABBWH01	998	17233	17080	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN09070715
Suillus tomentosus	48589	PRJNA444101	444101	Fungi	Basidiomycetes	53.0635	47.4	GCA_016647685.1	-	JABBWJ01	203	17327	17198	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN08778541
Suillus plorans	116603	PRJNA621328	621328	Fungi	Basidiomycetes	51.861	47.5	GCA_016647745.1	-	JABBWE01	176	16529	16401	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN14510212
Suillus subluteus	48588	PRJNA566866	566866	Fungi	Basidiomycetes	114.207	47.2	GCA_016647755.1	-	JABBWI01	684	22864	22673	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN12793125
Suillus fuscotomentosus	1912939	PRJNA572475	572475	Fungi	Basidiomycetes	79.6559	47.1	GCA_016647785.1	-	JABBWK01	737	18661	18511	2021/01/15	2021/01/15	Contig	DOE Joint Genome Institute	SAMN12811781
Steinernema khuongi	2781566	PRJNA670677	670677	Animals	Roundworms	81.7639	47.9	GCA_016648015.1	-	JADLIF01	8783	-	-	2021/01/15	2021/01/15	Contig	University of Florida	SAMN16516735
Hesperophylax magnus	1188115	PRJNA668166	668166	Animals	Insects	1233.59	34.4	GCA_016648045.1	-	JADDOG01	6877	-	-	2021/01/15	2021/01/15	Contig	Brigham Young University	SAMN16399083
Agrypnia vestita	763278	PRJNA668166	668166	Animals	Insects	1353.06	33.8	GCA_016648135.1	-	JADDOH01	25153	-	-	2021/01/15	2021/01/15	Scaffold	Brigham Young University	SAMN16399168
Antechinus stuartii	9283	PRJNA664282	664282	Animals	Mammals	3307.09	36.5	GCA_016696395.1	-	JACYGW01	30796	-	-	2021/01/15	2021/01/19	Scaffold	University of Sydney	SAMN16204884
Potamilus streckersoni	2493646	PRJNA681676	681676	Animals	Other Animals	1776.76	33.8	GCA_016746295.1	-	JAEAOA01	2366	-	-	2021/01/21	2021/01/21	Scaffold	University of Texas at Austin	SAMN16131590
Drosophila teissieri	7243	PRJNA647698	647698	Animals	Insects	149.4	43.0009	GCA_016746235.1	chromosome 2L:CM028594.1; chromosome 2R:CM028595.1; chromosome 3L:CM028596.1; chromosome 3R:CM028597.1; chromosome 4:CM028592.1; chromosome X:CM028593.1; mitochondrion MT:CM028610.1	JAEDAA01	91	-	-	2021/01/25	2021/01/25	Chromosome	Princeton University	SAMN15594708
Geosiphon pyriformis	50956	PRJNA610605	610605	Fungi	Other Fungi	128.32	28.4	GCA_016748015.1	-	JAAOMT01	792	-	-	2021/01/25	2021/01/25	Scaffold	University of Ottawa	SAMN14307302
Suillus clintonianus	1904413	PRJNA456442	456442	Fungi	Basidiomycetes	46.8383	48.5	GCA_016758775.1	-	JABBWN01	288	15647	15528	2021/01/27	2021/01/27	Contig	DOE Joint Genome Institute	SAMN09062943
Suillus cothurnatus	48568	PRJNA335141	335141	Fungi	Basidiomycetes	94.6118	46.7	GCA_016758765.1	-	JABBWL01	685	20027	19835	2021/01/27	2021/01/27	Contig	DOE Joint Genome Institute	SAMN05444124
Suillus bovinus	48563	PRJNA500124	500124	Fungi	Basidiomycetes	47.4961	46.9	GCA_016758785.1	-	JABBWO01	622	13655	13537	2021/01/27	2021/01/27	Contig	DOE Joint Genome Institute	SAMN10362845
Suillus discolor	1912936	PRJNA571623	571623	Fungi	Basidiomycetes	60.6098	47	GCA_016758755.1	-	JABBWM01	809	16641	16509	2021/01/27	2021/01/27	Contig	DOE Joint Genome Institute	SAMN12812516
Nigrospora oryzae	335854	PRJNA674684	674684	Fungi	Ascomycetes	43.2142	58.2	GCA_016758845.1	-	JADKYO01	15	-	-	2021/01/27	2021/01/27	Contig	Chinese Academy of Agricultural Sciences	SAMN16669333
Umbelopsis vinacea	44442	PRJNA668042	668042	Fungi	Other Fungi	23.1823	43.1	GCA_016758895.1	-	JAEPRA01	148	9240	9240	2021/01/27	2021/02/16	Scaffold	University of Warsaw	SAMN16393840
Suillus americanus	48561	PRJNA333476	333476	Fungi	Basidiomycetes	50.8091	47.7	GCA_016695465.1	-	JABBWP01	1307	17297	17152	2021/01/06	2021/01/26	Scaffold	DOE Joint Genome Institute	SAMN05446963
Suillus hirtellus	279518	PRJNA333479	333479	Fungi	Basidiomycetes	49.9422	46.4	GCA_016695485.1	-	JABBWQ01	644	17187	17065	2021/01/06	2021/01/26	Scaffold	DOE Joint Genome Institute	SAMN05446965
Suillus decipiens	48569	PRJNA333477	333477	Fungi	Basidiomycetes	62.7845	46.1	GCA_016695475.1	-	JABBWR01	1391	17010	16889	2021/01/06	2021/01/26	Scaffold	DOE Joint Genome Institute	SAMN05446964
Paramecium bursaria	74790	PRJNA555640	555640	Protists	Other Protists	26.8175	28.8	GCA_016808065.1	-	JAEUZD01	515	-	-	2021/02/02	2021/02/02	Contig	Academia Sinica	SAMN12325350
Thamnidium elegans	101142	PRJNA668042	668042	Fungi	Other Fungi	30.9428	33.1	GCA_016758935.1	-	JAEPRE01	2339	9713	9713	2021/01/27	2021/02/16	Scaffold	University of Warsaw	SAMN16393844
Scaeva pyrastri	219539	PRJEB41880	684845	Animals	Insects	320.047	32.6141	GCA_905146935.1	chromosome 1:LR989927.1; chromosome 2:LR989928.1; chromosome 3:LR989929.1; chromosome X:LR989930.1; mitochondrion MT:LR989931.1	-	5	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520160
Craniophora ligustri	938226	PRJEB42029	686349	Animals	Insects	437.994	36.0285	GCA_905163465.1	chromosome 1:LR990955.1; chromosome 2:LR990956.1; chromosome 3:LR990957.1; chromosome 4:LR990958.1; chromosome 5:LR990959.1; chromosome 6:LR990960.1; chromosome 7:LR990961.1; chromosome 8:LR990962.1; chromosome 9:LR990963.1; chromosome 10:LR990964.1; chromosome 11:LR990965.1; chromosome 12:LR990966.1; chromosome 13:LR990967.1; chromosome 14:LR990968.1; chromosome 15:LR990969.1; chromosome 16:LR990970.1; chromosome 17:LR990971.1; chromosome 18:LR990972.1; chromosome 19:LR990973.1; chromosome 20:LR990974.1; chromosome 21:LR990975.1; chromosome 22:LR990977.1; chromosome 23:LR990978.1; chromosome 24:LR990979.1; chromosome 25:LR990980.1; chromosome 26:LR990981.1; chromosome 27:LR990982.1; chromosome 28:LR990983.1; chromosome 29:LR990984.1; chromosome 30:LR990985.1; chromosome W:LR990976.1; chromosome Z:LR990954.1; mitochondrion MT:LR990986.1	-	33	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519852
Stagonosporopsis sp. YZ-2020a	2802321	PRJNA684691	684691	Fungi	Ascomycetes	33.0262	51.1803	GCA_016767195.1	chromosome 1:CP068498.1; chromosome 2:CP068502.1; chromosome 3:CP068505.1; chromosome 4:CP068499.1; chromosome 5:CP068497.1; chromosome 6:CP068501.1; chromosome 7:CP068494.1; chromosome 8:CP068491.1; chromosome 9:CP068504.1; chromosome 10:CP068508.1; chromosome 11:CP068492.1; chromosome 12:CP068503.1; chromosome 13:CP068496.1; chromosome 14:CP068506.1; chromosome 15:CP068500.1; chromosome 16:CP068493.1; chromosome 17:CP068507.1; chromosome 18:CP068509.1; chromosome 19:CP068495.1	-	19	-	-	2021/01/28	2021/01/28	Complete Genome	Chinese Academy of Forestry	SAMN17277446
Mucor plumbeus	97098	PRJNA668042	668042	Fungi	Other Fungi	48.3714	31.1	GCA_016758945.1	-	JAEPRC01	5701	11690	11690	2021/01/27	2021/02/16	Scaffold	University of Warsaw	SAMN16393842
Mucor circinatus	2054153	PRJNA668042	668042	Fungi	Other Fungi	54.1796	31.8	GCA_016758965.1	-	JAEPRB01	10557	14144	14144	2021/01/27	2021/02/16	Scaffold	University of Warsaw	SAMN16393841
Mucor saturninus	64648	PRJNA668042	668042	Fungi	Other Fungi	39.1718	36.6	GCA_016758985.1	-	JAEPRD01	5146	13019	13018	2021/01/27	2021/02/16	Scaffold	University of Warsaw	SAMN16393843
Autographa gamma	254363	PRJEB41840	684745	Animals	Insects	373.067	35.6539	GCA_905146925.1	chromosome 1:LR989850.1; chromosome 2:LR989851.1; chromosome 3:LR989852.1; chromosome 4:LR989853.1; chromosome 5:LR989854.1; chromosome 6:LR989855.1; chromosome 7:LR989856.1; chromosome 8:LR989857.1; chromosome 9:LR989858.1; chromosome 10:LR989859.1; chromosome 11:LR989860.1; chromosome 12:LR989861.1; chromosome 13:LR989862.1; chromosome 14:LR989863.1; chromosome 15:LR989864.1; chromosome 16:LR989865.1; chromosome 17:LR989866.1; chromosome 18:LR989867.1; chromosome 19:LR989868.1; chromosome 20:LR989869.1; chromosome 21:LR989870.1; chromosome 22:LR989871.1; chromosome 23:LR989872.1; chromosome 24:LR989873.1; chromosome 25:LR989874.1; chromosome 26:LR989875.1; chromosome 27:LR989876.1; chromosome 28:LR989877.1; chromosome 29:LR989878.1; chromosome 30:LR989879.1; chromosome W:LR989880.1; chromosome Z:LR989849.1; mitochondrion MT:LR989881.1	CAJHUD01	103	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519848
Pieris brassicae	7116	PRJEB41887	684849	Animals	Insects	292.341	34.1169	GCA_905147105.1	chromosome 1:LR989932.1; chromosome 2:LR989933.1; chromosome 3:LR989934.1; chromosome 4:LR989935.1; chromosome 5:LR989936.1; chromosome 6:LR989937.1; chromosome 7:LR989938.1; chromosome 8:LR989939.1; chromosome 9:LR989940.1; chromosome 10:LR989941.1; chromosome 11:LR989942.1; chromosome 12:LR989944.1; chromosome 13:LR989945.1; chromosome 14:LR989946.1; chromosome W:LR989947.1; chromosome Z:LR989943.1; mitochondrion MT:LR989948.1	CAJHUI01	402	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7532735
Nymphalis urticae	111881	PRJEB41896	684856	Animals	Insects	392.819	33.563	GCA_905147175.1	chromosome 1:LR989983.1; chromosome 2:LR989984.1; chromosome 3:LR989985.1; chromosome 4:LR989986.1; chromosome 5:LR989987.1; chromosome 6:LR989988.1; chromosome 7:LR989989.1; chromosome 8:LR989990.1; chromosome 9:LR989991.1; chromosome 10:LR989992.1; chromosome 11:LR989993.1; chromosome 12:LR989994.1; chromosome 13:LR989995.1; chromosome 14:LR989997.1; chromosome 15:LR989998.1; chromosome 16:LR989999.1; chromosome 17:LR990000.1; chromosome 18:LR990001.1; chromosome 19:LR990002.1; chromosome 20:LR990003.1; chromosome 21:LR990004.1; chromosome 22:LR990005.1; chromosome 23:LR990006.1; chromosome 24:LR990007.1; chromosome 25:LR990008.1; chromosome 26:LR990009.1; chromosome 27:LR990010.1; chromosome 28:LR990011.1; chromosome 29:LR990012.1; chromosome 30:LR990013.1; chromosome W:LR989996.1; chromosome Z:LR989982.1; mitochondrion MT:LR990014.1	CAJHUP01	35	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7523286
Laspeyria flexula	938238	PRJEB41886	684848	Animals	Insects	450.897	35.0911	GCA_905147015.1	chromosome 1:LR989950.1; chromosome 2:LR989951.1; chromosome 3:LR989952.1; chromosome 4:LR989953.1; chromosome 5:LR989954.1; chromosome 6:LR989955.1; chromosome 7:LR989956.1; chromosome 8:LR989957.1; chromosome 9:LR989958.1; chromosome 10:LR989959.1; chromosome 11:LR989960.1; chromosome 12:LR989961.1; chromosome 13:LR989962.1; chromosome 14:LR989963.1; chromosome 15:LR989964.1; chromosome 16:LR989965.1; chromosome 17:LR989966.1; chromosome 18:LR989967.1; chromosome 19:LR989968.1; chromosome 20:LR989969.1; chromosome 21:LR989970.1; chromosome 22:LR989971.1; chromosome 23:LR989972.1; chromosome 24:LR989973.1; chromosome 25:LR989974.1; chromosome 26:LR989975.1; chromosome 27:LR989976.1; chromosome 28:LR989977.1; chromosome 29:LR989978.1; chromosome 30:LR989979.1; chromosome Z:LR989949.1; mitochondrion MT:LR989980.1	CAJHUK01	38	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7519836
Syritta pipiens	34682	PRJEB41892	684852	Animals	Insects	318.523	38.4236	GCA_905187475.1	chromosome 1:LR994571.1; chromosome 2:LR994572.1; chromosome 3:LR994573.1; chromosome 4:LR994574.1; chromosome X:LR994575.1; mitochondrion MT:LR994576.1	CAJJIO01	7	-	-	2021/02/01	2021/02/01	Chromosome	Wellcome Sanger Institute	SAMEA7520166
Inachis io	171585	PRJEB41894	684854	Animals	Insects	384.172	33.6964	GCA_905147045.1	chromosome 1:LR989896.1; chromosome 2:LR989897.1; chromosome 3:LR989898.1; chromosome 4:LR989899.1; chromosome 5:LR989900.1; chromosome 6:LR989901.1; chromosome 7:LR989902.1; chromosome 8:LR989903.1; chromosome 9:LR989904.1; chromosome 10:LR989905.1; chromosome 11:LR989906.1; chromosome 12:LR989907.1; chromosome 13:LR989908.1; chromosome 14:LR989909.1; chromosome 15:LR989910.1; chromosome 16:LR989911.1; chromosome 17:LR989912.1; chromosome 18:LR989913.1; chromosome 19:LR989914.1; chromosome 20:LR989915.1; chromosome 21:LR989916.1; chromosome 22:LR989917.1; chromosome 23:LR989918.1; chromosome 24:LR989919.1; chromosome 25:LR989920.1; chromosome 26:LR989921.1; chromosome 27:LR989922.1; chromosome 28:LR989923.1; chromosome 29:LR989924.1; chromosome 30:LR989925.1; chromosome Z:LR989895.1; mitochondrion MT:LR989926.1	CAJHUF01	42	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7523149
Aricia agestis	91739	PRJEB41901	684860	Animals	Insects	435.281	36.8665	GCA_905147365.1	chromosome 1:LR990257.1; chromosome 2:LR990258.1; chromosome 3:LR990259.1; chromosome 4:LR990260.1; chromosome 5:LR990261.1; chromosome 6:LR990262.1; chromosome 7:LR990263.1; chromosome 8:LR990264.1; chromosome 9:LR990265.1; chromosome 10:LR990266.1; chromosome 11:LR990267.1; chromosome 12:LR990268.1; chromosome 13:LR990269.1; chromosome 14:LR990270.1; chromosome 15:LR990271.1; chromosome 16:LR990272.1; chromosome 17:LR990273.1; chromosome 18:LR990274.1; chromosome 19:LR990275.1; chromosome 20:LR990276.1; chromosome 21:LR990277.1; chromosome 22:LR990278.1; chromosome Z:LR990256.1; mitochondrion MT:LR990279.1	CAJHVJ01	26	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7523300
Cyaniris semiargus	988025	PRJEB41908	684867	Animals	Insects	441.519	36.5023	GCA_905187585.1	chromosome 1:LR994546.1; chromosome 2:LR994548.1; chromosome 3:LR994549.1; chromosome 4:LR994550.1; chromosome 5:LR994551.1; chromosome 6:LR994552.1; chromosome 7:LR994553.1; chromosome 8:LR994554.1; chromosome 9:LR994555.1; chromosome 10:LR994556.1; chromosome 11:LR994557.1; chromosome 12:LR994558.1; chromosome 13:LR994559.1; chromosome 14:LR994560.1; chromosome 15:LR994561.1; chromosome 16:LR994562.1; chromosome 17:LR994563.1; chromosome 18:LR994564.1; chromosome 19:LR994565.1; chromosome 20:LR994566.1; chromosome 21:LR994567.1; chromosome 22:LR994568.1; chromosome 23:LR994569.1; chromosome Z:LR994547.1; mitochondrion MT:LR994570.1	CAJJIN01	26	-	-	2021/02/01	2021/02/01	Chromosome	Wellcome Sanger Institute	SAMEA7523311
Erynnis tages	520884	PRJEB41912	684871	Animals	Insects	329.359	36.8829	GCA_905147235.1	chromosome 1:LR990072.1; chromosome 2:LR990073.1; chromosome 3:LR990074.1; chromosome 4:LR990075.1; chromosome 5:LR990076.1; chromosome 6:LR990077.1; chromosome 7:LR990078.1; chromosome 8:LR990079.1; chromosome 9:LR990080.1; chromosome 10:LR990081.1; chromosome 11:LR990082.1; chromosome 12:LR990083.1; chromosome 13:LR990084.1; chromosome 14:LR990085.1; chromosome 15:LR990086.1; chromosome 16:LR990087.1; chromosome 17:LR990088.1; chromosome 18:LR990089.1; chromosome 19:LR990090.1; chromosome 20:LR990091.1; chromosome 21:LR990092.1; chromosome 22:LR990093.1; chromosome 23:LR990094.1; chromosome 24:LR990095.1; chromosome 25:LR990096.1; chromosome 26:LR990097.1; chromosome 27:LR990098.1; chromosome 28:LR990099.1; chromosome 29:LR990100.1; chromosome 30:LR990101.1; chromosome Z:LR990071.1; mitochondrion MT:LR990102.1	CAJHUV01	41	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7523299
Hylaea fasciaria	722673	PRJEB41918	684875	Animals	Insects	327.937	38.667	GCA_905147375.1	chromosome 1:LR990193.1; chromosome 2:LR990194.1; chromosome 3:LR990195.1; chromosome 4:LR990196.1; chromosome 5:LR990197.1; chromosome 6:LR990198.1; chromosome 7:LR990199.1; chromosome 8:LR990200.1; chromosome 9:LR990201.1; chromosome 10:LR990202.1; chromosome 11:LR990203.1; chromosome 12:LR990204.1; chromosome 13:LR990205.1; chromosome 14:LR990206.1; chromosome 15:LR990207.1; chromosome 16:LR990208.1; chromosome 17:LR990209.1; chromosome 18:LR990210.1; chromosome 19:LR990211.1; chromosome 20:LR990212.1; chromosome 21:LR990213.1; chromosome 22:LR990214.1; chromosome 23:LR990215.1; chromosome 24:LR990216.1; chromosome 25:LR990217.1; chromosome 26:LR990218.1; chromosome 27:LR990219.1; chromosome 28:LR990220.1; chromosome 29:LR990221.1; chromosome 30:LR990222.1; chromosome Z:LR990192.1; mitochondrion MT:LR990223.1	CAJHVH01	34	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520684
Vanessa atalanta	42275	PRJEB41956	685722	Animals	Insects	370.436	32.8339	GCA_905147765.1	chromosome 1:LR990550.1; chromosome 2:LR990551.1; chromosome 3:LR990552.1; chromosome 4:LR990553.1; chromosome 5:LR990554.1; chromosome 6:LR990555.1; chromosome 7:LR990556.1; chromosome 8:LR990557.1; chromosome 9:LR990558.1; chromosome 10:LR990559.1; chromosome 11:LR990560.1; chromosome 12:LR990561.1; chromosome 13:LR990562.1; chromosome 14:LR990563.1; chromosome 15:LR990564.1; chromosome 16:LR990565.1; chromosome 17:LR990566.1; chromosome 18:LR990567.1; chromosome 19:LR990568.1; chromosome 20:LR990569.1; chromosome 21:LR990570.1; chromosome 22:LR990571.1; chromosome 23:LR990572.1; chromosome 24:LR990573.1; chromosome 25:LR990574.1; chromosome 26:LR990575.1; chromosome 27:LR990577.1; chromosome 28:LR990578.1; chromosome 29:LR990579.1; chromosome 30:LR990580.1; chromosome W:LR990576.1; chromosome Z:LR990549.1; mitochondrion MT:LR990581.1	CAJHWX01	142	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7523145
Phlogophora meticulosa	875884	PRJEB41949	685715	Animals	Insects	538.66	37.951	GCA_905147745.1	chromosome 1:LR990518.1; chromosome 2:LR990519.1; chromosome 3:LR990520.1; chromosome 4:LR990521.1; chromosome 5:LR990522.1; chromosome 6:LR990523.1; chromosome 7:LR990524.1; chromosome 8:LR990525.1; chromosome 9:LR990526.1; chromosome 10:LR990527.1; chromosome 11:LR990528.1; chromosome 12:LR990529.1; chromosome 13:LR990530.1; chromosome 14:LR990531.1; chromosome 15:LR990532.1; chromosome 16:LR990533.1; chromosome 17:LR990534.1; chromosome 18:LR990535.1; chromosome 19:LR990536.1; chromosome 20:LR990537.1; chromosome 21:LR990538.1; chromosome 22:LR990539.1; chromosome 23:LR990540.1; chromosome 24:LR990541.1; chromosome 25:LR990542.1; chromosome 26:LR990543.1; chromosome 27:LR990544.1; chromosome 28:LR990545.1; chromosome 29:LR990546.1; chromosome 30:LR990547.1; chromosome Z:LR990517.1; mitochondrion MT:LR990548.1	CAJHWW01	47	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520192
Xestia xanthographa	988049	PRJEB41957	685723	Animals	Insects	933.882	38.7016	GCA_905147715.1	chromosome 1:LR990642.1; chromosome 2:LR990643.1; chromosome 3:LR990644.1; chromosome 4:LR990645.1; chromosome 5:LR990646.1; chromosome 6:LR990647.1; chromosome 7:LR990648.1; chromosome 8:LR990649.1; chromosome 9:LR990650.1; chromosome 10:LR990651.1; chromosome 11:LR990652.1; chromosome 12:LR990653.1; chromosome 13:LR990654.1; chromosome 14:LR990655.1; chromosome 15:LR990656.1; chromosome 16:LR990657.1; chromosome 17:LR990658.1; chromosome 18:LR990659.1; chromosome 19:LR990660.1; chromosome 20:LR990661.1; chromosome 21:LR990662.1; chromosome 22:LR990663.1; chromosome 23:LR990664.1; chromosome 24:LR990665.1; chromosome 25:LR990666.1; chromosome 26:LR990667.1; chromosome 27:LR990668.1; chromosome 28:LR990669.1; chromosome 29:LR990670.1; chromosome 30:LR990671.1; chromosome Z:LR990641.1; mitochondrion MT:LR990672.1	CAJHXD01	61	-	-	2021/01/25	2021/01/25	Chromosome	Wellcome Sanger Institute	SAMEA7520195
