#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Lactococcus virus CB14	665884		0	Other	Siphoviridae	29.459	34.8	bacteria	NC_013152.1/FJ848883.1	52	52	2009/08/22	2020/12/20	Complete Genome
Lactococcus virus CB13	665883		0	Other	Siphoviridae	32.182	34.7	bacteria	NC_013155.1/FJ848882.1	55	55	2009/08/22	2020/12/20	Complete Genome
Clostridium phage phiCT9441A	1567014	PRJNA260193	260193	Other	Myoviridae	46.895	28.7	bacteria	 Unknown:NC_029022.1/KM983329.1	77	77	2014/12/28	2020/12/21	Complete Genome
Clostridium phage phiCD146	1582151	PRJEB7776	268765	Other	Siphoviridae	41.507	30.7	bacteria	 Unknown:NC_028958.1/LN681536.1	52	52	2014/12/11	2020/12/21	Complete Genome
Clostridium phage phiMMP01	1582156	PRJEB7782	268771	Other	Myoviridae	44.461	28.9	bacteria	 Unknown:NC_028883.1/LN681541.1	81	81	2014/12/11	2020/12/21	Complete Genome
Enterobacter phage phiEap-1	1587520	PRJNA270704	270704	Other	Autographiviridae	39.133	51.7	bacteria	NC_028772.1/KT321314.1	42	42	2015/08/29	2020/12/21	Complete Genome
Clostridium phage phiCD111	1582150	PRJEB7775	268764	Other	Siphoviridae	41.56	30.9	bacteria	 Unknown:NC_028905.1/LN681535.1	55	55	2014/12/11	2020/12/21	Complete Genome
Clostridium phage phiCD506	1582155	PRJEB7781	268770	Other	Myoviridae	33.274	29.6	bacteria	 Unknown:NC_028838.1/LN681540.1	53	53	2014/12/11	2020/12/21	Complete Genome
Achromobacter phage phiAxp-1	1610509	PRJNA270702	270702	Other	Siphoviridae	45.045	56	bacteria	 Unknown:NC_029033.1/KP313532.2	64	64	2015/06/07	2020/12/21	Complete Genome
Escherichia phage slur09	1728958	PRJEB10958	297419	Other	Demerecviridae	111.751	39	bacteria	 1:NC_028840.1/LN887948.1	181	160	2015/10/09	2020/12/21	Complete Genome
Clostridium phage phiCT19406C	1567011	PRJNA260197	260197	Other	Siphoviridae	35.703	29.2	bacteria	 Unknown:NC_029006.1/KM983332.1	63	63	2014/12/28	2020/12/21	Complete Genome
Clostridium phage phiCD481-1	1582153	PRJEB7779	268768	Other	Myoviridae	32.846	30.3	bacteria	 Unknown:NC_028951.1/LN681538.1	54	54	2014/12/11	2020/12/21	Complete Genome
Clostridium phage phiMMP03	1582157	PRJEB7783	268772	Other	Myoviridae	52.261	28.9	bacteria	 Unknown:NC_028959.1/LN681542.1	93	93	2014/12/11	2020/12/21	Complete Genome
Clostridium phage phiCD505	1582154	PRJEB7780	268769	Other	Myoviridae	49.316	29.4	bacteria	 Unknown:NC_028764.1/LN681539.1	76	76	2014/12/11	2020/12/21	Complete Genome
Citrobacter phage phiCFP-1	1610508	PRJNA270680	270680	Other	Autographiviridae	38.625	50.3	bacteria	NC_028880.1/KP313531.1	43	43	2015/04/05	2020/12/21	Complete Genome
Achromobacter phage phiAxp-3	1664247	PRJNA285741	285741	Other	Podoviridae	72.825	55.2	bacteria	 Unknown:NC_028908.2/KT321317.2	80	80	2015/08/29	2020/12/21	Complete Genome
Lactobacillus phage phi jlb1	1416334	PRJNA249087	249087	Other	Myoviridae	38.269	37.4	bacteria	 Unknown:NC_024206.1/KF767351.1	54	54	2014/04/03	2020/12/21	Complete Genome
Podovirus Lau218	1465639	PRJNA234377	234377	Other	Autographiviridae	39.311	34.7	-	KJ183192.1	-	48	2014/06/07	2020/11/16	Complete Genome
Salmonella phage 38	1654891		0	Other	Ackermannviridae	156.833	44.6	bacteria	 Unknown:NC_029042.1/KR296692.1	265	265	2015/10/30	2020/12/21	Complete Genome
Mycobacterium phage Breeniome	1340712		0	Other	Myoviridae	154.434	64.8	bacteria	 Unknown:NC_029044.1/KF006817.1	268	236	2013/09/22	2020/12/21	Complete Genome
Mycobacterium phage SweetiePie	1555235		0	Other	Siphoviridae	53.184	63.5	bacteria	NC_029043.2/KM591906.2	95	95	2014/10/13	2020/12/21	Complete Genome
Salmonella phage 37	1654890		0	Other	Siphoviridae	60.216	56.5	bacteria	 Unknown:NC_029045.1/KR296691.1	105	105	2015/10/30	2020/12/21	Complete Genome
Verrucomicrobia phage P8625	1636271		0	Other	Siphoviridae	32.894	51	bacteria	 Unknown:NC_029047.1/KP792622.1	52	52	2015/04/05	2020/12/21	Complete Genome
Sinorhizobium phage phiLM21	1524882		0	Other	Siphoviridae	50.827	60.7	bacteria	 Unknown:NC_029046.1/KJ743987.1	73	72	2014/08/06	2020/12/21	Complete Genome
Clostridium phage phiCD211	1582152	PRJEB7144	275397	Other	Siphoviridae	131.704	26.4	bacteria	 Unknown:NC_029048.2/LN681537.2	192	190	2014/12/11	2020/12/21	Complete Genome
Salmonella phage 21	1654884		0	Other	Myoviridae	51.896	46.9	bacteria	 Unknown:KR296685.1	104	104	2015/10/30	2018/06/21	Chromosome
Jasmine virus T	1775963		0	Other	Potyviridae	9.59	42.6	land plants	NC_029051.1/KT222674.1	1	1	2016/01/12	2018/08/13	Complete Genome
Goose dicistrovirus	1776109	PRJNA338014	338014	Other	Dicistroviridae	9.13	33.8	invertebrates	 Unknown:NC_029052.1/KT873140.1	2	2	2016/01/11	2018/08/13	Complete Genome
Panax notoginseng virus A	1777016		0	Other	Totiviridae	5.003	43.1	land plants	 Unknown:NC_029096.1/KT388111.1	2	2	2016/01/13	2018/08/13	Complete Genome
Cucumis melo alphaendornavirus	1776177		0	Other	Endornaviridae	15.078	37.2	land plants	 Unknown:NC_029064.1/KT727022.1	1	1	2016/01/11	2018/08/13	Complete Genome
Cronobacter phage Dev-CD-23823	1712539		0	Other	Autographiviridae	41.62	53.8	bacteria	 Unknown:NC_029070.1/LN878149.1	48	48	2015/09/14	2020/12/21	Complete Genome
Pseudoalteromonas phage Pq0	1667322		0	Other	Siphoviridae	33.399	40.3	bacteria	 Unknown:NC_029100.1/KR060090.1	56	56	2015/06/29	2020/12/21	Complete Genome
Enterobacter phage E-2	1636313		0	Other	Autographiviridae	36.051	50.6	bacteria	NC_029102.1/KP791805.1	41	41	2015/04/05	2020/12/21	Complete Genome
Elderberry carlavirus C	1569054		0	Other	Betaflexiviridae	8.613	49.4	land plants	 Unknown:NC_029087.1/KJ572562.2	6	6	2014/12/17	2018/08/13	Complete Genome
Arrabida virus	1457322		0	Other	Phenuiviridae	12.429	43.2866	-	 L:NC_029082.1/KP863799.1;  M:NC_037616.1/KP863800.1;  S:NC_037617.1/KP863801.1	4	4	2016/01/26	2018/08/13	Complete Genome
Nectarine marafivirus M	1778580		0	Other	Tymoviridae	6.421	59.6	land plants	 Unknown:NC_029063.1/KT273411.1	1	1	2016/01/18	2018/08/13	Complete Genome
Ctenophore-associated circular genome 4	1778573		0	Satellites	unclassified	1.21	45.8	-	 Unknown:NC_029115.1/KT945169.1	1	1	2016/01/19	2018/08/13	Complete Genome
Ctenophore-associated circular virus 4	1778561		0	unclassified viruses	unclassified	1.714	45.6	-	 Unknown:NC_029111.1/KT945165.1	2	2	2016/01/19	2018/08/13	Complete Genome
Mycobacterium phage Dusk	1679524		0	Other	Siphoviridae	75.339	63	bacteria	 Unknown:NC_029079.1/KT222942.1	144	142	2015/07/15	2020/12/21	Complete Genome
Salmonella phage 19	1654883		0	Other	Myoviridae	94.766	45.6	bacteria	 Unknown:KR296684.1	194	194	2015/10/30	2018/06/21	Complete Genome
Gordonia phage GordTnk2	1622192		0	Other	Siphoviridae	75.987	50.7	bacteria	 Unknown:NC_029074.1/KP790008.1	98	98	2015/04/15	2020/12/21	Complete Genome
Geobacillus virus E3	1572712		0	Other	Siphoviridae	141.298	29.6	-	 Unknown:NC_029073.1/KP144388.1	201	201	2015/07/13	2020/12/21	Complete Genome
Streptomyces phage Jay2Jay	1556290		0	Other	Siphoviridae	133.531	49.5	bacteria	 Unknown:NC_029098.1/KM652554.1	281	235	2014/11/08	2020/12/21	Complete Genome
Tofla virus	1615758		0	Other	Nairoviridae	18.467	47.0321	invertebrates	 S:NC_029122.1/LC008510.1;  M:NC_029123.1/LC008511.1;  L:NC_029124.1/LC008512.1	3	3	2016/01/05	2018/08/13	Complete Genome
Alternaria brassicicola fusarivirus 1	1766767		0	unclassified viruses	unclassified	6.656	47.3	fungi	 Unknown:NC_029056.1/KT581960.1	3	3	2016/01/13	2020/12/21	Complete Genome
Turnip leaf roll virus	1766828		0	Other	Geminiviridae	2.965	42.9	land plants	 Unknown:NC_029117.1/KT388076.1	6	6	2015/12/10	2018/08/13	Complete Genome
Lactococcus phage GE1	1698369		0	Other	Siphoviridae	24.847	37.9	bacteria	 Unknown:NC_029118.1/KT339177.1	48	48	2015/09/29	2020/12/21	Complete Genome
Pseudomonas phage PS-1	1573458		0	Other	Siphoviridae	48.666	59.8	bacteria	 Unknown:NC_029066.1/AP014684.1	79	79	2015/06/20	2020/12/21	Complete Genome
Elderberry carlavirus B	1569053		0	Other	Betaflexiviridae	8.607	45.3	land plants	 Unknown:NC_029086.1/KJ572561.2	6	6	2014/12/17	2018/08/13	Complete Genome
Clostridium phage phiCDHM13	1437363		0	Other	Myoviridae	33.596	30	bacteria	 Unknown:NC_029116.1/HG796225.1	49	50	2014/09/11	2020/12/21	Complete Genome
Salehabad virus	904699		0	Other	Phenuiviridae	12.174	44.8862	invertebrates	 L:JX472403.1;  M:JX472404.1;  S:JX472405.1	-	4	2012/12/19	2013/03/25	Complete Genome
Ctenophore-associated circular genome 3	1778572		0	Satellites	unclassified	1.223	45.1	-	 Unknown:NC_029114.1/KT945168.1	1	1	2016/01/19	2018/08/13	Complete Genome
Ctenophore-associated circular virus 3	1778560		0	unclassified viruses	unclassified	1.722	45.1	-	 Unknown:NC_029110.1/KT945164.1	2	2	2016/01/19	2018/08/13	Complete Genome
Rhodobacter phage RcTitan	1662330		0	Other	Siphoviridae	44.496	55.1	bacteria	 Unknown:NC_029097.1/KR935213.1	61	61	2015/08/09	2020/12/21	Complete Genome
Mycobacterium phage Mindy	1647311		0	Other	Siphoviridae	75.796	63	bacteria	 Unknown:NC_029093.1/KR080204.1	149	147	2015/05/06	2020/12/21	Complete Genome
Gordonia phage GordDuk1	1622191		0	Other	Siphoviridae	76.276	50.7	bacteria	 Unknown:NC_029060.1/KP790010.1	97	97	2015/04/15	2020/12/21	Complete Genome
Lactobacillus phage LfeInf	1567484		0	Other	Herelleviridae	106.071	38.2	bacteria	 Unknown:NC_029058.1/KP054477.1	126	124	2014/12/20	2020/12/21	Complete Genome
Mycobacterium phage VohminGhazi	1542912		0	Other	Siphoviridae	52.155	61.5	bacteria	NC_029077.1/KM401838.1	103	100	2014/10/11	2020/12/21	Complete Genome
Achromobacter phage phiAxp-2	1664246	PRJNA285740	285740	Other	Siphoviridae	62.22	60.1	bacteria	 Unknown:NC_029106.1/KT321316.2	86	86	2015/08/29	2020/12/21	Complete Genome
Ctenophore-associated circular virus 1	1778558		0	unclassified viruses	unclassified	1.846	47.2	-	 Unknown:NC_029108.1/KT945162.1	2	2	2016/01/19	2018/08/13	Complete Genome
Erysiphe cichoracearum alphaendornavirus	1777015		0	Other	Endornaviridae	11.907	43.9	fungi	 Unknown:NC_029095.1/KT388110.1	1	1	2016/01/13	2018/08/13	Complete Genome
Sulfolobus monocaudavirus SMV3	1732177		0	Other	Bicaudaviridae	64.323	38.6	archaea	 Unknown:NC_029103.1/KP282677.1	87	87	2015/10/02	2020/12/21	Complete Genome
Erysipelothrix phage SE-1	1675317		0	Other	Siphoviridae	34.997	34	bacteria	 Unknown:NC_029078.1/KR816341.1	43	43	2015/07/15	2020/12/21	Complete Genome
Pectobacterium phage Peat1	1654601		0	Other	Autographiviridae	45.633	48.9	bacteria	 Unknown:NC_029081.1/KR604693.1	61	61	2015/06/28	2020/12/21	Complete Genome
Elderberry carlavirus D	1569055		0	Other	Betaflexiviridae	8.612	49	land plants	 Unknown:NC_029088.1/KJ572563.2	6	6	2014/12/17	2018/08/13	Complete Genome
Ralstonia phage RS138	1483485		0	Other	Siphoviridae	41.941	65.1	bacteria	 Unknown:NC_029107.1/AB916497.1	56	56	2015/09/12	2020/12/21	Complete Genome
Staphylococcus phage 812	307898		0	Other	Herelleviridae	142.096	30.4	bacteria	 Unknown:NC_029080.1/KJ206559.1	224	221	2016/01/06	2020/12/20	Complete Genome
Iris severe mosaic virus	32620		0	Other	Potyviridae	10.423	38.9	land plants	NC_029076.1/KT692938.1	1	1	2016/01/19	2018/08/13	Complete Genome
Ctenophore-associated circular genome 1	1778570		0	Satellites	unclassified	1.21	43.8	-	 Unknown:NC_029112.1/KT945166.1	1	1	2016/01/19	2018/08/13	Complete Genome
Staphylococcus phage SPbeta-like	1732063		0	Other	Siphoviridae	127.726	30.5	bacteria	 Unknown:NC_029119.1/KT429160.1	156	156	2015/10/11	2020/12/19	Complete Genome
Salmonella phage 36	1654889		0	Other	Drexlerviridae	41.085	43.5	bacteria	 Unknown:NC_029071.1/KR296690.1	91	91	2015/10/30	2020/12/21	Chromosome
Pseudomonas phage YH30	1636189		0	Other	Podoviridae	72.192	54.9	bacteria	 Unknown:NC_029101.1/KP994390.1	86	86	2015/04/17	2020/12/21	Complete Genome
Achromobacter phage JWF	1589748		0	Other	Siphoviridae	81.541	60.1	bacteria	 Unknown:NC_029075.1/KP202971.1	119	118	2015/01/18	2020/12/21	Complete Genome
Lactobacillus phage LfeSau	1567453		0	Other	Siphoviridae	31.703	48	bacteria	 Unknown:NC_029068.1/KP027015.1	50	50	2014/11/29	2020/12/21	Complete Genome
Brevibacillus phage Jimmer1	1296659		0	Other	Myoviridae	54.312	38.1	bacteria	 Unknown:NC_029104.1/KC595515.1	103	103	2013/07/23	2020/12/21	Complete Genome
Pseudomonas phage VCM	1729937	PRJEB11093	302409	Other	Myoviridae	98.765	48.5	bacteria	 1:NC_029065.1/LN887844.1	189	172	2015/11/16	2020/12/21	Complete Genome
Ctenophore-associated circular virus 2	1778559		0	unclassified viruses	unclassified	1.853	51.5	-	 Unknown:NC_029109.1/KT945163.1	2	2	2016/01/19	2018/08/13	Complete Genome
Vibrio phage qdvp001	1003177		0	Other	Myoviridae	134.742	35.7	bacteria	 Unknown:NC_029057.1/KT932418.1	227	227	2015/11/10	2020/12/20	Chromosome
Pavonia yellow mosaic virus	1742596		0	Other	Geminiviridae	5.378	44.1106	land plants	 DNA A:NC_029105.1/KT948787.1;  DNA B:NC_037611.1/KT948788.1	7	7	2016/01/12	2018/08/13	Complete Genome
Rosellinia necatrix megabirnavirus 2-W8	1676267		0	Other	Megabirnaviridae	16.944	54.1622	fungi	 1:NC_029125.1/LC062704.1;  2:NC_029126.1/LC062705.1	4	4	2016/01/06	2018/08/13	Complete Genome
Pseudoalteromonas phage H101	1654919		0	Other	Myoviridae	131.903	37.4	bacteria	 Unknown:NC_029094.1/KR534323.1	228	228	2015/07/05	2020/12/21	Complete Genome
Elderberry carlavirus E	1569056		0	Other	Betaflexiviridae	8.54	49.8	land plants	 Unknown:NC_029089.1/KJ572564.2	6	6	2014/12/17	2018/08/13	Complete Genome
Elderberry carlavirus A	1569052		0	Other	Betaflexiviridae	8.628	45.1	land plants	 Unknown:NC_029085.1/KJ572560.2	6	6	2014/12/17	2018/08/13	Complete Genome
Shigella phage 75/02 Stx	1416032		0	Other	Podoviridae	60.875	49.1	bacteria	 Unknown:NC_029120.1/KF766125.2	76	76	2013/12/14	2020/12/21	Complete Genome
Bacillus phage BM5	1755679		0	Other	Myoviridae	165.031	38.1	bacteria	 Unknown:KT995479.1	224	224	2015/12/08	2018/08/14	Complete Genome
Escherichia phage APCEc01	1655305		0	Other	Myoviridae	168.771	37.7	bacteria	 Unknown:NC_029091.1/KR422352.1	274	272	2015/12/31	2020/12/21	Complete Genome
Rhodoferax phage P26218	1636270		0	Other	Podoviridae	36.315	56.7	bacteria	 Unknown:NC_029061.1/KP792623.1	44	44	2015/04/05	2020/12/21	Complete Genome
Paenibacillus phage Rani	1589752		0	Other	Siphoviridae	37.99	41.8	bacteria	 Unknown:NC_029084.1/KP296793.1	61	61	2015/02/14	2020/12/21	Complete Genome
Mycobacterium phage Edtherson	1567468		0	Other	Siphoviridae	51.492	64	bacteria	NC_029059.1/KP027196.1	91	91	2014/12/28	2020/12/21	Complete Genome
Bacillus phage Bp8p-T	1445811		0	Other	Herelleviridae	151.419	41.2	bacteria	NC_047744.1/KJ010548.1	216	211	2014/11/12	2020/12/21	Complete Genome
Pseudomonas phage PaoP5	1716042	PRJNA295793	295793	Other	Myoviridae	93.464	49.5	bacteria	 Unknown:NC_029083.1/KU297675.1	184	173	2015/12/26	2020/12/21	Complete Genome
Ostreococcus tauri virus OtV5	1785753		0	Other	Phycodnaviridae	186.713	44.8	eukaryotic algae	 Unknown:NC_010191.2/EU304328.2	247	247	2007/12/24	2020/12/21	Complete Genome
Spondweni virus	64318		0	Other	Flaviviridae	10.29	52.3	human,invertebrates	 Unknown:NC_029055.1/DQ859064.1	1	1	2009/09/16	2019/08/01	Complete Genome
Lactococcus virus CB19	665886		0	Other	Siphoviridae	28.643	35.1	bacteria	NC_013153.1/FJ848884.1	51	51	2009/08/22	2020/12/20	Complete Genome
Rat bocavirus	1788315		0	Other	Parvoviridae	5.212	43.9	vertebrates	 Unknown:NC_029133.1/KT454512.1	5	5	2016/02/01	2018/08/13	Complete Genome
Delisea pulchra RNA virus	1781241		0	Other	Other	9.581	40.3	eukaryotic algae	 Unknown:NC_029131.1/KT455464.1	2	2	2016/01/31	2018/08/13	Complete Genome
Macropodid alphaherpesvirus 1	137443		0	Other	Herpesviridae	140.122	52.9	vertebrates	 Unknown:NC_029132.1/KT594769.1	75	76	2016/01/31	2018/08/13	Complete Genome
Myotis gammaherpesvirus 8	1780507	PRJNA295864	295864	Other	Herpesviridae	129.563	36.2	vertebrates	 Unknown:NC_029255.1/KU220026.1	78	77	2016/02/01	2018/08/13	Chromosome
Bat bocavirus	1329649		0	Other	Parvoviridae	5.203	48	vertebrates	 Unknown:NC_029300.1/KT592508.1	4	4	2016/02/13	2018/08/13	Complete Genome
Currant virus A	1770618		0	Other	Betaflexiviridae	7.925	39.6	land plants	 Unknown:NC_029301.1/KT763043.1	2	2	2016/02/18	2018/08/13	Complete Genome
Piscine myocarditis-like virus	1798085		0	Other	Totiviridae	6.038	44.2	vertebrates	 Unknown:NC_029302.1/KT725636.1	3	3	2016/02/15	2018/08/13	Complete Genome
Cnaphalocrocis medinalis granulovirus	1750712		0	Other	Baculoviridae	111.246	35.2	invertebrates	 Unknown:NC_029304.1/KU593505.1	118	118	2016/02/16	2018/08/13	Complete Genome
Marine RNA virus PAL128	1804153		0	Other	Marnaviridae	8.66	42.2	-	 Unknown:NC_029306.1/KT727023.1	2	2	2016/02/24	2018/08/13	Complete Genome
Leporid alphaherpesvirus 4	481315		0	Other	Herpesviridae	124.049	66.3	vertebrates	 Unknown:NC_029311.1/JQ596859.1	79	79	2012/09/11	2018/08/13	Complete Genome
Marine RNA virus PAL438	1804155		0	unclassified viruses	unclassified	7.047	39.2	-	 Unknown:NC_029308.1/KT727025.1	2	2	2016/02/24	2020/12/21	Complete Genome
Camponotus nipponicus virus	1765754		0	Other	Totiviridae	5.713	50.6	invertebrates	 Unknown:NC_029312.1/LC101918.1	2	2	2016/02/20	2018/08/13	Complete Genome
Acidianus tailed spindle virus	1797140		0	Other	Bicaudaviridae	70.812	36.4	archaea	 Unknown:NC_029316.1/KU645528.1	95	95	2016/02/15	2020/12/21	Complete Genome
Marine RNA virus PAL_E4	1804157		0	unclassified viruses	unclassified	8.187	46.6	-	 Unknown:NC_029310.1/KT727027.1	2	2	2016/02/24	2020/12/21	Complete Genome
Marine RNA virus PAL156	1804154		0	Other	Marnaviridae	7.897	41.9	-	 Unknown:NC_029307.1/KT727024.1	2	2	2016/02/24	2018/08/13	Complete Genome
Marine RNA virus PAL473	1804156		0	Other	Marnaviridae	6.36	42.7	-	 Unknown:NC_029309.1/KT727026.1	2	2	2016/02/24	2018/08/13	Complete Genome
Acidianus rod-shaped virus 2	1732175		0	Other	Rudiviridae	29.763	32.3	archaea	 Unknown:NC_029314.1/KP282675.1	43	43	2015/10/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-30	1685758		0	unclassified viruses	unclassified	3.003	46.8	invertebrates	 Unknown:NC_029577.1/KP153456.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-31	1685759		0	unclassified viruses	unclassified	3.124	46.3	invertebrates	 Unknown:NC_029579.1/KP153459.1	2	2	2016/03/02	2020/12/21	Complete Genome
Blueberry shoestring virus	1714570		0	Other	Solemoviridae	4.02	51.9	land plants	 Unknown:NC_029578.1/LC081344.1	-	-	2016/03/02	2018/08/13	Complete Genome
Lake Sarah-associated circular molecule 9	1685734		0	unclassified viruses	unclassified	1.137	47.8	invertebrates	 Unknown:NC_029632.1/KP153377.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 8	1685733		0	unclassified viruses	unclassified	1.182	45.8	invertebrates	 Unknown:NC_029621.1/KP153371.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 7	1685732		0	unclassified viruses	unclassified	1.096	42.9	-	 Unknown:NC_029618.1/KP153370.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 6	1685731		0	unclassified viruses	unclassified	1.113	43.6	invertebrates	 Unknown:NC_029615.1/KP153368.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 5	1685730		0	unclassified viruses	unclassified	1.045	47.3	invertebrates	 Unknown:NC_029608.1/KP153364.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 4	1685729		0	unclassified viruses	unclassified	0.838	60.1	-	 Unknown:NC_029606.1/KP153363.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 3	1685728		0	unclassified viruses	unclassified	1.082	44.2	invertebrates	 Unknown:NC_029602.1/KP153361.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 2	1685727		0	unclassified viruses	unclassified	1.131	40.2	invertebrates	 Unknown:NC_029603.1/KP153360.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 11	1685726		0	unclassified viruses	unclassified	1.123	45.3	invertebrates	 Unknown:NC_029640.1/KP153384.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 10	1685725		0	unclassified viruses	unclassified	1.693	39.9	invertebrates	 Unknown:NC_029634.1/KP153379.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 1	1685724		0	unclassified viruses	unclassified	1.217	58.5	invertebrates	 Unknown:NC_029601.1/KP153359.1	1	1	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-3	1685757		0	unclassified viruses	unclassified	4.441	44.9	invertebrates	 Unknown:NC_029611.1/KP153395.1	3	3	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-29	1685756		0	unclassified viruses	unclassified	4.282	42	invertebrates	 Unknown:NC_029619.1/KP153454.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-28	1685755		0	unclassified viruses	unclassified	6.38	42.6	invertebrates	 Unknown:NC_029617.1/KP153451.1	3	3	2016/03/02	2018/08/13	Complete Genome
Lake Sarah-associated circular virus-27	1685754		0	unclassified viruses	unclassified	2.256	48.4	-	 Unknown:NC_029630.1/KP153523.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-26	1685753		0	unclassified viruses	unclassified	2.259	41.8	invertebrates	 Unknown:NC_029614.1/KP153446.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-25	1685752		0	unclassified viruses	unclassified	1.776	41	invertebrates	 Unknown:NC_029613.1/KP153445.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-24	1685751		0	unclassified viruses	unclassified	1.627	50	invertebrates	 Unknown:NC_029639.1/KP153443.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-23	1685750		0	unclassified viruses	unclassified	1.775	47.1	invertebrates	 Unknown:NC_029637.1/KP153442.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular molecule 12	1809112		0	unclassified viruses	unclassified	2.022	45	invertebrates	 Unknown:NC_029620.1/KP153472.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-9	1685786		0	unclassified viruses	unclassified	1.932	42.8	-	 Unknown:NC_029587.1/KP153407.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-8	1685785		0	unclassified viruses	unclassified	2.205	45.5	invertebrates	 Unknown:NC_029585.1/KP153405.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-7	1685784		0	unclassified viruses	unclassified	2.304	42.4	-	 Unknown:NC_029584.1/KP153404.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-6	1685783		0	unclassified viruses	unclassified	2.939	37.6	-	 Unknown:NC_029583.1/KP153403.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-51	1685781		0	unclassified viruses	unclassified	2.175	45	invertebrates	 Unknown:NC_029629.1/KP153522.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-22	1685749		0	unclassified viruses	unclassified	1.66	40.1	invertebrates	 Unknown:NC_029636.1/KP153441.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-21	1685748		0	unclassified viruses	unclassified	1.762	49.2	invertebrates	 Unknown:NC_029628.1/KP153437.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-20	1685747		0	unclassified viruses	unclassified	1.632	49.4	invertebrates	 Unknown:NC_029622.1/KP153434.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-2	1685746		0	unclassified viruses	unclassified	2.301	43.3	invertebrates	 Unknown:NC_029610.1/KP153394.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-19	1685745		0	unclassified viruses	unclassified	1.931	38	invertebrates	 Unknown:NC_029609.1/KP153429.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-18	1685744		0	unclassified viruses	unclassified	1.821	44.7	invertebrates	 Unknown:NC_029604.1/KP153427.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-17	1685743		0	unclassified viruses	unclassified	2.678	42.9	invertebrates	 Unknown:NC_029599.1/KP153424.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-16	1685742		0	unclassified viruses	unclassified	1.888	43.8	invertebrates	 Unknown:NC_029596.1/KP153420.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-15	1685741		0	unclassified viruses	unclassified	1.963	46.9	invertebrates	 Unknown:NC_029595.1/KP153417.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-14	1685740		0	unclassified viruses	unclassified	4.301	36.5	invertebrates	 Unknown:NC_029594.1/KP153414.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-13	1685739		0	unclassified viruses	unclassified	1.587	48.8	invertebrates	 Unknown:NC_029592.1/KP153412.1	2	2	2016/03/02	2020/12/21	Complete Genome
Lake Sarah-associated circular virus-12	1685738		0	unclassified viruses	unclassified	1.898	54.9	invertebrates	 Unknown:NC_029590.1/KP153410.1	2	2	2016/03/02	2020/12/21	Complete Genome
