#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	FTP Path	Pubmed ID	Strain
Roseomonas stagni DSM 19981	1123062	PRJEB17425	351645	Proteobacteria	Alphaproteobacteria	6.38446	70.7	-	FOSQ01	44	5990	5855	2016/10/31	2020/06/21	Scaffold	DOE - JOINT GENOME INSTITUTE	SAMN02745775	GCA_900114315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/315/GCA_900114315.1_IMG-taxon_2602042029_annotated_assembly	-	DSM 19981
Runella zeae DSM 19591	1123078	PRJNA185655	185655	FCB group	Bacteroidetes/Chlorobi group	7.60063	42.2	-	AUIF01	85	6349	6223	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441156	GCA_000423565.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/565/GCA_000423565.1_ASM42356v1	-	DSM 19591
Salinimicrobium xinjiangense DSM 19287	1123235	PRJNA185656	185656	FCB group	Bacteroidetes/Chlorobi group	3.76451	41.3	-	AUIG01	45	3377	3281	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440840	GCA_000423585.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/585/GCA_000423585.1_ASM42358v1	-	DSM 19287
Saccharospirillum impatiens DSM 12546	1123228	PRJNA185657	185657	Proteobacteria	Gammaproteobacteria	4.74315	55.4	-	AUIH01	148	4336	4144	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440661	GCA_000423605.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/605/GCA_000423605.1_ASM42360v1	-	DSM 12546
Sandarakinorhabdus limnophila DSM 17366	1123240	PRJNA185658	185658	Proteobacteria	Alphaproteobacteria	2.61374	64.5	-	ATVO01	11	2590	2502	2013/07/09	2020/05/06	Contig	DOE Joint Genome Institute	SAMN02441589	GCA_000420765.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/765/GCA_000420765.1_ASM42076v1	-	DSM 17366
Sediminimonas qiaohouensis DSM 21189	1123247	PRJNA185660	185660	Proteobacteria	Alphaproteobacteria	3.55498	63.8	-	AUIJ01	67	3502	3325	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441501	GCA_000423645.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/645/GCA_000423645.1_ASM42364v1	-	DSM 21189
Maritalea myrionectae	454601	PRJNA384915	384915	Proteobacteria	Alphaproteobacteria	3.70335	52.4327	chromosome:NZ_CP021330.1/CP021330.1; plasmid pHL2708X3:NZ_CP021331.1/CP021331.1; plasmid pHL2708Y3:NZ_CP021332.1/CP021332.1	-	3	3690	3625	2018/04/10	2021/02/26	Complete Genome	Cotde-PKNU-Marine-Bio-Convergence	SAMN06853988	GCA_003433515.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/433/515/GCA_003433515.1_ASM343351v1	-	HL2708#5
Solirubrobacter soli DSM 22325	1123262	PRJNA185661	185661	Terrabacteria group	Actinobacteria	9.31396	71.4	-	AUIK01	50	8674	8435	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440825	GCA_000423665.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/665/GCA_000423665.1_ASM42366v1	-	DSM 22325
Sphingomonas jaspsi DSM 18422	1123268	PRJNA185662	185662	Proteobacteria	Alphaproteobacteria	2.54801	64.7	-	JFBW01	1	2654	2593	2014/03/03	2020/07/16	Scaffold	DOE Joint Genome Institute	SAMN02198985	GCA_000585415.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/585/415/GCA_000585415.1_ASM58541v1	-	DSM 18422
Streptococcus plurextorum DSM 22810	1123314	PRJNA185667	185667	Terrabacteria group	Firmicutes	2.10346	41.1	-	AUIO01	33	2127	2005	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441159	GCA_000423745.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/745/GCA_000423745.1_ASM42374v1	-	DSM 22810
Streptococcus porci DSM 23759	1123315	PRJNA185668	185668	Terrabacteria group	Firmicutes	2.29094	40.8	-	AUIP01	35	2329	2179	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440826	GCA_000423765.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/765/GCA_000423765.1_ASM42376v1	-	DSM 23759
Thalassobaculum salexigens DSM 19539	1123364	PRJNA185670	185670	Proteobacteria	Alphaproteobacteria	5.08455	67.4	-	AUIR01	12	4769	4666	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441503	GCA_000423805.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/805/GCA_000423805.1_ASM42380v1	-	DSM 19539
Thermithiobacillus tepidarius DSM 3134	1123368	PRJNA185671	185671	Proteobacteria	Acidithiobacillia	2.9585	66.8	-	AUIS01	43	2967	2853	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441488	GCA_000423825.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/825/GCA_000423825.1_ASM42382v1	-	DSM 3134
Thermodesulfobacterium hveragerdense DSM 12571	1123372	PRJNA185672	185672	Thermodesulfobacteria	Thermodesulfobacteria	1.72959	37.1	-	AUIT01	42	1804	1706	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441489	GCA_000423845.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/845/GCA_000423845.1_ASM42384v1	-	DSM 12571
Thermodesulfovibrio thiophilus DSM 17215	1123376	PRJNA185673	185673	Nitrospirae	Thermodesulfovibrionia	1.87147	34.4	-	AUIU01	18	1957	1887	2013/07/10	2021/02/21	Scaffold	DOE Joint Genome Institute	SAMN02440662	GCA_000423865.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/865/GCA_000423865.1_ASM42386v1	-	DSM 17215
Stappia stellulata DSM 5886	1123294	PRJNA185664	185664	Proteobacteria	Alphaproteobacteria	4.62317	64.7	-	AUIM01	12	4266	4163	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441158	GCA_000423705.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/705/GCA_000423705.1_ASM42370v1	-	DSM 5886
Streptococcus devriesei DSM 19639	1123300	PRJNA185665	185665	Terrabacteria group	Firmicutes	2.12137	41.8	-	AUIN01	17	2076	1983	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441502	GCA_000423725.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/725/GCA_000423725.1_ASM42372v1	-	DSM 19639
Streptococcus hyovaginalis DSM 12219	1123305	PRJNA185666	185666	Terrabacteria group	Firmicutes	2.07781	39.9	-	ATVP01	37	2071	1929	2013/07/09	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440576	GCA_000420785.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/785/GCA_000420785.1_ASM42078v1	-	DSM 12219
Thermomonas fusca	215690	PRJNA530918	530918	Proteobacteria	Gammaproteobacteria	2.90243	68.4	-	SROY01	19	2702	2622	2019/05/28	2020/05/16	Scaffold	Research Center of Biotechnology RAS	SAMN11339516	GCA_005862345.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/862/345/GCA_005862345.1_ASM586234v1	-	SHC 3-19
Yaniella halotolerans DSM 15476	1123507	PRJNA185675	185675	Terrabacteria group	Actinobacteria	2.77546	55.6	-	ATVQ01	6	2602	2513	2013/07/09	2020/05/06	Contig	DOE Joint Genome Institute	SAMN02440577	GCA_000420805.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/420/805/GCA_000420805.1_ASM42080v1	-	DSM 15476
Thermus antranikianii DSM 12462	1123386	PRJNA185676	185676	Terrabacteria group	Deinococcus-Thermus	2.16515	64.8	-	AUIW01	33	2321	2191	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441490	GCA_000423905.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/905/GCA_000423905.1_ASM42390v1	-	DSM 12462
Lachnobacterium bovis DSM 14045	1122142	PRJEB16629	349950	Terrabacteria group	Firmicutes	2.71707	31.4	-	FNPG01	58	2478	2362	2016/10/22	2021/03/19	Scaffold	DOE - JOINT GENOME INSTITUTE	SAMN02910414	GCA_900107245.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/245/GCA_900107245.1_IMG-taxon_2593339158_annotated_assembly	-	DSM 14045
Sporomusa ovata DSM 2662	1123288	PRJNA205246	205246	Terrabacteria group	Firmicutes	5.38367	43.3	-	ASXP01	8	5286	5030	2013/08/13	2021/01/24	Contig	Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	SAMN02469826	GCA_000445445.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/445/445/GCA_000445445.1_SOV1	24029766	DSM 2662
Treponema bryantii	163	PRJEB17384	351586	Spirochaetes	Spirochaetia	3.19147	40	-	FORI01	24	2833	2742	2016/10/30	2020/07/05	Scaffold	DOE - JOINT GENOME INSTITUTE	SAMN04487775	GCA_900113965.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/113/965/GCA_900113965.1_IMG-taxon_2606217736_annotated_assembly	-	XBD1002
Butyrivibrio hungatei DSM 14810	1121132	PRJEB18445	356025	Terrabacteria group	Firmicutes	3.39495	39.9	-	FRDH01	22	3111	3032	2016/12/03	2021/03/19	Scaffold	DOE - JOINT GENOME INSTITUTE	SAMN02745247	GCA_900143205.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/205/GCA_900143205.1_IMG-taxon_2582580726_annotated_assembly	-	DSM 14810
Bifidobacterium pseudolongum	1694	PRJNA391001	391001	Terrabacteria group	Actinobacteria	2.0081	63.4	chromosome:NZ_CP022544.1/CP022544.1	-	1	1706	1609	2017/08/31	2020/12/25	Complete Genome	Institute for Genome Sciences	SAMN07357905	GCA_002282915.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/282/915/GCA_002282915.1_ASM228291v1	-	UMB-MBP-01
Novispirillum itersonii subsp. itersonii ATCC 12639	1279038	PRJNA185295	185295	Proteobacteria	Alphaproteobacteria	4.29065	63.1	-	ARMX01	34	3892	3783	2013/04/23	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02441318	GCA_000381985.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/381/985/GCA_000381985.1_ASM38198v1	-	ATCC 12639
Butyrivibrio sp. AE3004	1506994	PRJNA239125	239125	Terrabacteria group	Firmicutes	4.47091	39.6	-	JNLQ01	6	4040	3905	2014/06/11	2020/12/09	Contig	DOE Joint Genome Institute	SAMN02841232	GCA_000703165.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/703/165/GCA_000703165.1_ASM70316v1	-	AE3004
Pseudobutyrivibrio ruminis DSM 9787	1123011	PRJEB22289	400884	Terrabacteria group	Firmicutes	3.02038	38.8	-	OBMR01	18	2819	2725	2017/09/19	2021/03/19	Contig	DOE - JOINT GENOME INSTITUTE	SAMN02910411	GCA_900218035.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/218/035/GCA_900218035.1_IMG-taxon_2596583532_annotated_assembly	-	DSM 9787
Blautia wexlerae DSM 19850	1121115	PRJNA195783	195783	Terrabacteria group	Firmicutes	4.50847	41.4	-	AXVN01	210	4243	4000	2013/10/25	2020/12/14	Scaffold	DOE Joint Genome Institute	SAMN02440722	GCA_000484655.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/484/655/GCA_000484655.1_ASM48465v1	-	DSM 19850
Ruegeria mediterranea	1280832	PRJEB28331	604938	Proteobacteria	Alphaproteobacteria	5.20937	58.8	-	UNRB01	21	4997	4866	2020/02/07	2020/08/31	Contig	Station Biologique de Roscoff - Sorbonne Universite/CNRS	SAMEA4873272	GCA_900537105.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/537/105/GCA_900537105.1_ASM90053710v1	-	Alg239-R130
Ruegeria litorea R37	1200284	PRJEB19729	384760	Proteobacteria	Alphaproteobacteria	4.69163	59.2	-	FWFO01	18	4559	4459	2017/04/28	2021/03/18	Contig	University of Valencia, Spain	SAMEA103892645	GCA_900172225.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/172/225/GCA_900172225.1_Tr.litoreus_CECT7639_Spades_Prokka	-	CECT 7639
Hyphomonas adhaerens MHS-3	1280949	PRJNA186164	186164	Proteobacteria	Alphaproteobacteria	3.66857	61.3	-	ARYH01	9	3533	3473	2014/05/06	2021/03/10	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746697	GCA_000685235.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/235/GCA_000685235.1_SOAPdenovo_v1.05	25070064	MHS-3
Hyphomonas johnsonii MHS-2	1280950	PRJNA186166	186166	Proteobacteria	Alphaproteobacteria	3.61877	62.5	-	ARYK01	18	3492	3428	2014/05/06	2021/03/10	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746698	GCA_000685275.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/275/GCA_000685275.1_SOAPdenovo_v1.05	25070064	MHS-2
Hyphomonas hirschiana VP5	1280951	PRJNA186167	186167	Proteobacteria	Alphaproteobacteria	3.69052	61.9	-	ARYI01	38	3537	3460	2014/05/06	2021/01/03	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746696	GCA_000685255.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/255/GCA_000685255.1_SOAPdenovo_v1.05	-	VP5
Hyphomonas jannaschiana VP2	1280952	PRJNA186169	186169	Proteobacteria	Alphaproteobacteria	3.64084	61.4	-	ARYJ01	30	3543	3485	2014/05/06	2021/03/10	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746699	GCA_000685215.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/215/GCA_000685215.1_SOAPdenovo_v1.05	25070064	VP2
Hyphomonas oceanitis SCH89	1280953	PRJNA186170	186170	Proteobacteria	Alphaproteobacteria	4.28017	60.2	-	ARYL01	188	4187	4086	2014/05/06	2021/03/10	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746695	GCA_000685295.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/295/GCA_000685295.1_SOAPdenovo_v1.05	25070064	SCH89
Hyphomonas polymorpha PS728	1280954	PRJNA186172	186172	Proteobacteria	Alphaproteobacteria	4.05096	62.3	-	ARYM01	71	3897	3799	2014/05/06	2021/03/10	Contig	The Third Institute of State Oceanic Administration (SOA)	SAMN02746694	GCA_000685315.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/685/315/GCA_000685315.1_SOAPdenovo_v1.05	25070064	PS728
Rhodopseudomonas sp. SK50-23	340268	PRJNA522948	522948	Proteobacteria	Alphaproteobacteria	5.8579	61.9	chromosome:CP036498.1	-	1	5537	5191	2021/05/05	2021/05/05	Complete Genome	Inner Mongolia University	SAMN10961266	GCA_018279705.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/279/705/GCA_018279705.1_ASM1827970v1	-	SK50-23
Klebsiella cf. planticola B43	95610	PRJDA69977	69977	Proteobacteria	Gammaproteobacteria	4.47933	56.3	-	BADH01	847	4546	3937	2012/12/26	2020/08/30	Scaffold	Kazusa DNA Research Institute	SAMD00036578	GCA_000333535.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/333/535/GCA_000333535.1_ASM33353v1	-	B43
Tenacibaculum maritimum	107401	PRJNA383097	383097	FCB group	Bacteroidetes/Chlorobi group	3.33327	32	chromosome:NZ_CP020822.1/CP020822.1	-	1	2938	2822	2019/04/23	2021/03/06	Complete Genome	Jeju National University	SAMN06759395	GCA_004803875.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/803/875/GCA_004803875.1_ASM480387v1	-	TM-KORJJ
Ideonella sp. 4Y16	2824120	PRJNA720809	720809	Proteobacteria	Betaproteobacteria	5.5079	70.1	-	JAGQDF01	36	5015	4919	2021/04/18	2021/04/18	Contig	Guangdong Academy of Sciences	SAMN18680232	GCA_018069875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/069/875/GCA_018069875.1_ASM1806987v1	-	4Y16
Pseudacidovorax intermedius	433924	PRJNA463368	463368	Proteobacteria	Betaproteobacteria	5.97523	69.4	-	QQAV01	29	5498	5392	2018/07/31	2020/05/10	Scaffold	DOE Joint Genome Institute	SAMN09074867	GCA_003350475.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/350/475/GCA_003350475.1_ASM335047v1	-	DSM 21352
Lachnospira multipara ATCC 19207	1282887	PRJNA185693	185693	Terrabacteria group	Firmicutes	2.87186	35.3	-	AUJG01	31	2603	2508	2013/07/10	2020/05/06	Scaffold	DOE Joint Genome Institute	SAMN02440666	GCA_000424105.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/105/GCA_000424105.1_ASM42410v1	-	ATCC 19207
Methylohalobius crimeensis 10Ki	1283300	PRJNA186467	186467	Proteobacteria	Gammaproteobacteria	3.50961	58.3	-	ATXB01	5	3417	3327	2013/07/09	2021/01/17	Contig	DOE Joint Genome Institute	SAMN02441580	GCA_000421465.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/465/GCA_000421465.1_ASM42146v1	26067976	10Ki
Saccharopolyspora rectivirgula	28042	PRJNA252549	252549	Terrabacteria group	Actinobacteria	3.96147	68.9	-	JNVU01	50	3722	3597	2014/06/23	2021/01/24	Contig	University of Franche-Comte	SAMN02851309	GCA_000710755.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/755/GCA_000710755.1_ASM71075v1	25523783	DSM 43113
Alloprevotella rava	671218	PRJNA546761	546761	FCB group	Bacteroidetes/Chlorobi group	2.55729	45.3	-	JACICA01	28	2055	1943	2020/08/14	2020/08/17	Contig	DOE Joint Genome Institute	SAMN12025113	GCA_014195585.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/195/585/GCA_014195585.1_ASM1419558v1	-	DSM 22548
Halococcus sp. IIIV-5B	2321230	PRJNA490534	490534	Euryarchaeota	Stenosarchaea group	3.87336	64	-	QZWE01	83	3953	3776	2018/10/01	2021/01/06	Contig	University of Puerto Rico-Mayaguez	SAMN10039696	GCA_003602035.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/602/035/GCA_003602035.1_ASM360203v1	-	IIIV-5B
Kinneretia sp. DAIF2	2714952	PRJNA609912	609912	Other	Other	6.01058	69.3	chromosome:NZ_CP049919.1/CP049919.1	-	1	5536	5409	2020/11/20	2020/11/22	Complete Genome	Georg-August-University Goettingen	SAMN14262758	GCA_015624425.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/624/425/GCA_015624425.1_ASM1562442v1	-	DAIF2
Halobonum sp. NJ-3-1	2743089	PRJNA638230	638230	Other	Other	4.25875	68.6631	chromosome:NZ_CP058579.1/CP058579.1; plasmid unnamed1:NZ_CP058580.1/CP058580.1	-	2	4275	4125	2020/07/12	2020/07/13	Complete Genome	Jiangsu University	SAMN15183787	GCA_013402875.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/402/875/GCA_013402875.1_ASM1340287v1	-	NJ-3-1
Metabacillus sp. KUDC1714	2745198	PRJNA639428	639428	Terrabacteria group	Firmicutes	5.76408	35.7	chromosome:NZ_CP055263.1/CP055263.1	-	1	5362	5108	2020/08/17	2020/08/19	Complete Genome	Kyungpook National University	SAMN15236437	GCA_014217835.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/217/835/GCA_014217835.1_ASM1421783v1	-	KUDC1714
Oxynema sp. AP17	2064643	PRJNA614629	614629	Terrabacteria group	Cyanobacteria/Melainabacteria group	6.35775	51.5	chromosome:NZ_CP051167.1/CP051167.1	-	1	5069	4801	2020/04/15	2020/04/20	Complete Genome	Jadavpur University	SAMN14410527	GCA_012295525.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/525/GCA_012295525.1_ASM1229552v1	-	AP17
Phytoplasma sp. Vc33	1836886	PRJNA293833	293833	Terrabacteria group	Tenericutes	0.687137	27.7	-	LLKK01	29	-	-	2016/04/19	2016/06/09	Scaffold	Universidad de Chile	SAMN04010523	GCA_001623385.2	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/385/GCA_001623385.2_ASM162338v2	-	Vc33
Natrinema versiforme JCM 10478	1227496	PRJNA174938	174938	Euryarchaeota	Stenosarchaea group	4.1908	64	-	AOID01	72	4248	4024	2013/02/04	2021/02/21	Contig	University of California, Davis	SAMN02471670	GCA_000337195.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/195/GCA_000337195.1_ASM33719v1	25393412	JCM 10478
Natronococcus amylolyticus DSM 10524	1227497	PRJNA174940	174940	Euryarchaeota	Stenosarchaea group	4.41653	64.4	-	AOIB01	44	4426	4228	2013/02/04	2021/03/08	Contig	University of California, Davis	SAMN02471669	GCA_000337675.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/675/GCA_000337675.1_ASM33767v1	25393412	DSM 10524
Natronococcus jeotgali DSM 18795	1227498	PRJNA174941	174941	Euryarchaeota	Stenosarchaea group	4.49618	64.4	-	AOIA01	170	4564	4241	2013/02/04	2021/02/21	Contig	University of California, Davis	SAMN02471624	GCA_000337695.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/695/GCA_000337695.1_ASM33769v1	25393412	DSM 18795
Natronolimnohabitans innermongolicus JCM 12255	1227499	PRJNA174942	174942	Euryarchaeota	Stenosarchaea group	4.58863	64.3	-	AOHZ01	121	4480	4263	2013/02/04	2021/03/08	Contig	University of California, Davis	SAMN02471623	GCA_000337215.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/215/GCA_000337215.1_ASM33721v1	25393412	JCM 12255
Natronorubrum bangense	61858	PRJNA482706	482706	Euryarchaeota	Stenosarchaea group	4.38241	60.6075	chromosome:NZ_CP031305.1/CP031305.1; plasmid unnamed1:NZ_CP031306.1/CP031306.1; plasmid unnamed2:NZ_CP031307.1/CP031307.1; plasmid unnamed3:NZ_CP031308.1/CP031308.1; plasmid unnamed4:NZ_CP031309.1/CP031309.1	-	5	4328	4122	2019/04/18	2021/03/05	Complete Genome	Wuhan University	SAMN09711300	GCA_004799645.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/799/645/GCA_004799645.1_ASM479964v1	30975999	JCM 10635
Natronorubrum sulfidifaciens JCM 14089	1230460	PRJNA174944	174944	Euryarchaeota	Stenosarchaea group	3.46029	61.8	-	AOHX01	63	3454	3325	2013/02/04	2021/03/08	Contig	University of California, Davis	SAMN02471621	GCA_000337735.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/735/GCA_000337735.1_ASM33773v1	25393412	JCM 14089
Mycobacterium tuberculosis variant caprae	115862	PRJNA326075	326075	Terrabacteria group	Actinobacteria	4.32496	65.6	chromosome:NZ_CP016401.1/CP016401.1	-	1	4037	3817	2017/01/10	2021/02/26	Chromosome	Ludwig-Maximilians-University	SAMN05257278	GCA_001941665.1	-	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/941/665/GCA_001941665.1_ASM194166v1	-	Allgaeu
Pseudomonas extremorientalis	169669	PRJEB16257	348879	Proteobacteria	Gammaproteobacteria	6.3731	60.9	chromosome I:NZ_LT629708.1/LT629708.1	-	1	5765	5607	2016/10/20	2020/12/13	Chromosome	DOE - JOINT GENOME INSTITUTE	SAMN04490184	GCA_900104365.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/365/GCA_900104365.1_IMG-taxon_2639762715_annotated_assembly	-	BS2774
Streptomyces gancidicus	68204	PRJDB10510	661485	Terrabacteria group	Actinobacteria	7.39736	72	-	BMSH01	205	6676	6425	2020/09/11	2020/11/23	Scaffold	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	SAMD00245398	GCA_014649055.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/055/GCA_014649055.1_ASM1464905v1	30832757	JCM 4171
Natrialba hulunbeirensis JCM 10989	1227493	PRJNA174932	174932	Euryarchaeota	Stenosarchaea group	4.15961	61.7	-	AOIM01	48	3921	3739	2013/02/04	2021/03/08	Contig	University of California, Davis	SAMN02471673	GCA_000337575.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/575/GCA_000337575.1_ASM33757v1	25393412	JCM 10989
Natrialba taiwanensis DSM 12281	1230458	PRJNA174933	174933	Euryarchaeota	Stenosarchaea group	4.63519	61.5	-	AOIL01	70	4479	4182	2013/02/04	2021/02/21	Contig	University of California, Davis	SAMN02471680	GCA_000337595.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/595/GCA_000337595.1_ASM33759v1	25393412	DSM 12281
Natrinema altunense	222984	PRJNA248700	248700	Euryarchaeota	Stenosarchaea group	3.77413	64.6	-	JNCS01	20	3772	3633	2014/07/21	2021/02/21	Contig	Zhejiang University	SAMN02800870	GCA_000731985.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/985/GCA_000731985.1_ASM73198v1	15879273	AJ2
Natrinema gari JCM 14663	1230459	PRJNA174935	174935	Euryarchaeota	Stenosarchaea group	4.02369	63.7	-	AOIJ01	88	4077	3815	2013/02/04	2021/03/08	Contig	University of California, Davis	SAMN02471627	GCA_000337175.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/175/GCA_000337175.1_ASM33717v1	25393412	JCM 14663
Amycolatopsis decaplanina DSM 44594	1284240	PRJNA186747	186747	Terrabacteria group	Actinobacteria	8.53328	68.6	-	AOHO01	85	7846	7611	2013/02/26	2021/01/20	Contig	Institute of Microbial Technology (IMTECH), Chandigarh, India 160036	SAMN02470008	GCA_000342005.1	REPR	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/342/005/GCA_000342005.1_Whole_genome_assembly	23558534	DSM 44594
